environment,genotype,observed,predicted,method
BRK_00,PI182561,66.0,70.39553622520553,ridge_pc5_lo
BRK_00,PI382161,92.5,69.85394624267543,ridge_pc5_lo
BRK_00,PI382167,72.0,71.11756694567885,ridge_pc5_lo
BRK_00,PI81791,70.5,68.70320492524925,ridge_pc5_lo
BRK_00,MN97039,65.5,68.88066647520647,ridge_pc5_lo
BRK_00,MN97561,62.5,73.46009833159512,ridge_pc5_lo
BRK_00,MN98037,63.5,72.74503431272791,ridge_pc5_lo
BRK_00,MN98092,61.0,75.44737620910996,ridge_pc5_lo
BRK_00,MN98208,80.0,73.55855046686867,ridge_pc5_lo
BRK_00,MN98389,74.0,68.34198178427397,ridge_pc5_lo
BRK_00,2375,71.0,72.8765815616674,ridge_pc5_lo
BRK_00,ND2710,92.5,68.49052142719637,ridge_pc5_lo
BRK_00,BACUP,66.5,75.98280066937403,ridge_pc5_lo
BRK_00,WHEATON,65.0,69.39456844994915,ridge_pc5_lo
BRK_01,PI104131,33.900000000000006,37.57061825078328,ridge_pc5_lo
BRK_01,PI185380,30.5,40.607178256941474,ridge_pc5_lo
BRK_01,PI349478,59.3,39.92725763165888,ridge_pc5_lo
BRK_01,PI382140,48.4,40.31774945584662,ridge_pc5_lo
BRK_01,MN99109,39.4,40.78734898675203,ridge_pc5_lo
BRK_01,MN99112,38.2,39.86635773697419,ridge_pc5_lo
BRK_01,MN99126,44.8,39.10597414536213,ridge_pc5_lo
BRK_01,MN99192,40.5,40.88839380497824,ridge_pc5_lo
BRK_01,MN99322,41.0,45.01289973041516,ridge_pc5_lo
BRK_01,2375,36.0,45.43946066265514,ridge_pc5_lo
BRK_01,ND2710,48.4,39.964632335617544,ridge_pc5_lo
BRK_01,BACUP,45.6,44.247875490931314,ridge_pc5_lo
BRK_01,WHEATON,22.299999999999997,41.95744755093686,ridge_pc5_lo
BRK_02,PI163429,37.5,49.89073039105186,ridge_pc5_lo
BRK_02,PI168727,45.6,48.27430046125292,ridge_pc5_lo
BRK_02,PI345731,46.5,44.068085237425905,ridge_pc5_lo
BRK_02,PI185843,57.5,51.95086154456883,ridge_pc5_lo
BRK_02,PI264940,60.3,49.78984762118397,ridge_pc5_lo
BRK_02,SD3533,46.3,57.624473855711976,ridge_pc5_lo
BRK_02,MN00021,66.0,59.29072171599909,ridge_pc5_lo
BRK_02,MN00173,43.2,51.01798748258022,ridge_pc5_lo
BRK_02,MN00274,58.5,54.87189585145706,ridge_pc5_lo
BRK_02,MN99225,64.2,59.71779027730955,ridge_pc5_lo
BRK_02,MN99408,66.5,52.82227483757136,ridge_pc5_lo
BRK_02,2375,48.2,59.22937903387521,ridge_pc5_lo
BRK_02,ND2710,82.0,51.85889255863145,ridge_pc5_lo
BRK_02,BACUP,59.2,58.58464586766762,ridge_pc5_lo
BRK_02,WHEATON,39.5,55.74736592215694,ridge_pc5_lo
BRK_03,BUCKAUSTRAL,61.8,59.34109700967283,ridge_pc5_lo
BRK_03,KLEINCONDOR,65.2,60.323739559152955,ridge_pc5_lo
BRK_03,ARTEMOWSKA,73.2,61.29005448498725,ridge_pc5_lo
BRK_03,ALBIDUM43,39.5,63.032979917235906,ridge_pc5_lo
BRK_03,SD3746,47.0,63.68251686331969,ridge_pc5_lo
BRK_03,STEPNJACHKA,73.2,62.604958083767954,ridge_pc5_lo
BRK_03,MN01116,58.0,63.631411060271546,ridge_pc5_lo
BRK_03,MN01180,82.4,67.0682934542435,ridge_pc5_lo
BRK_03,MN01281,81.7,66.64697643894822,ridge_pc5_lo
BRK_03,MN99433-1,52.0,64.06411723122248,ridge_pc5_lo
BRK_03,ND03_1-15,55.8,69.58043668853854,ridge_pc5_lo
BRK_03,ND03_1-9,78.1,67.03779328229253,ridge_pc5_lo
BRK_03,2375,61.8,69.65929987977611,ridge_pc5_lo
BRK_03,ND2710,96.9,61.082694423665686,ridge_pc5_lo
BRK_03,BACUP,85.4,68.20902631845658,ridge_pc5_lo
BRK_03,WHEATON,21.200000000000003,66.17728676805787,ridge_pc5_lo
BRK_04,MN00187-3,72.1233,57.42433402783414,ridge_pc5_lo
BRK_04,MN01164,73.36670000000001,63.598677168600226,ridge_pc5_lo
BRK_04,MN01NIL84-5-5-15,65.83330000000001,62.60706747492037,ridge_pc5_lo
BRK_04,MN99220-4,57.89,60.70210948091984,ridge_pc5_lo
BRK_04,MN99341-2-5,62.5,61.68786168754888,ridge_pc5_lo
BRK_04,ND03_1-15,45.3333,67.18681075510995,ridge_pc5_lo
BRK_04,ND03_1-9,56.7333,59.881436208747935,ridge_pc5_lo
BRK_04,NDSW0345,47.8167,52.688626741761446,ridge_pc5_lo
BRK_04,RUGBY,46.1333,60.5276517648659,ridge_pc5_lo
BRK_04,2375,56.6667,62.50294280623152,ridge_pc5_lo
BRK_04,ND2710,76.9833,56.32955050834179,ridge_pc5_lo
BRK_04,BACUP,64.3133,62.813441223592086,ridge_pc5_lo
BRK_04,WHEATON,41.9667,59.02092969451325,ridge_pc5_lo
BRK_05,NDSW0350,58.3333,55.175689309146215,ridge_pc5_lo
BRK_05,MN01057-3-1,78.91669999999999,62.547950270622856,ridge_pc5_lo
BRK_05,MN01380-2-1,72.28999999999999,57.752343123052746,ridge_pc5_lo
BRK_05,MN02051-1,69.94,66.92999249174417,ridge_pc5_lo
BRK_05,MN02219-1,68.0067,69.68206788506997,ridge_pc5_lo
BRK_05,MN02306-2,75.5567,62.82217883917664,ridge_pc5_lo
BRK_05,NDSW0345,51.0,57.2509109415304,ridge_pc5_lo
BRK_05,RUGBY,44.3333,66.86390881446675,ridge_pc5_lo
BRK_05,2375,49.95,68.49771954408929,ridge_pc5_lo
BRK_05,ND2710,75.3567,56.10132865875852,ridge_pc5_lo
BRK_05,BACUP,67.38,69.14969827319293,ridge_pc5_lo
BRK_05,WHEATON,50.65,65.01570643237105,ridge_pc5_lo
BRK_06,WASKADA,79.925,78.17679372069453,ridge_pc5_lo
BRK_06,CROMWELL,60.1667,68.55211258388267,ridge_pc5_lo
BRK_06,MN02268-A-4,78.9417,74.40151722311188,ridge_pc5_lo
BRK_06,TOM,80.825,74.55552115649178,ridge_pc5_lo
BRK_06,NDSW0430,84.4167,80.220076993382,ridge_pc5_lo
BRK_06,MN00209-3-1,92.6833,72.94443917472518,ridge_pc5_lo
BRK_06,MN02222-1,86.4667,71.39019224014632,ridge_pc5_lo
BRK_06,RUGBY,40.3333,79.14723812992824,ridge_pc5_lo
BRK_06,2375,79.9083,78.17204018957331,ridge_pc5_lo
BRK_06,ND2710,87.8333,71.08667052029536,ridge_pc5_lo
BRK_06,BACUP,78.425,81.43302758865443,ridge_pc5_lo
BRK_06,WHEATON,44.6667,74.69002707785506,ridge_pc5_lo
BRK_07,ES101,67.3666667,56.47983705242471,ridge_pc5_lo
BRK_07,MN03013-3-2,62.0333333,68.20808867849402,ridge_pc5_lo
BRK_07,MN03191-2-1,55.8333333,62.90707870897944,ridge_pc5_lo
BRK_07,NDSW0430,70.66666670000001,66.25182716554757,ridge_pc5_lo
BRK_07,MN00209-3-1,60.2666667,60.69306750901678,ridge_pc5_lo
BRK_07,MN02222-1,68.16666670000001,57.89267382214561,ridge_pc5_lo
BRK_07,RUGBY,61.6666667,60.77409121276614,ridge_pc5_lo
BRK_07,BRICK,63.3333333,58.346091788703625,ridge_pc5_lo
BRK_07,2375,57.9583333,66.85352699290155,ridge_pc5_lo
BRK_07,ND2710,68.0,58.83529885458696,ridge_pc5_lo
BRK_07,BACUP,62.725,63.05988067149233,ridge_pc5_lo
BRK_07,WHEATON,27.166666699999993,63.37151388118328,ridge_pc5_lo
BRK_09,FOREFRONT,57.1666667,60.12802887235509,ridge_pc5_lo
BRK_09,SD4011,69.66666670000001,61.722034217439024,ridge_pc5_lo
BRK_09,SD4027,64.83333329999999,62.686806318809246,ridge_pc5_lo
BRK_09,SELECT,69.16666670000001,61.26284994626641,ridge_pc5_lo
BRK_09,MN05152-1-1,65.33333329999999,67.0422240750134,ridge_pc5_lo
BRK_09,MN06049-1-3,71.66666670000001,65.60031469422297,ridge_pc5_lo
BRK_09,MN06202-3-1,60.0,67.1404818556787,ridge_pc5_lo
BRK_09,MN06213-6-2-4,66.16666670000001,68.49353723324681,ridge_pc5_lo
BRK_09,MN06219-2-2,53.1666667,69.56695628249055,ridge_pc5_lo
BRK_09,2375,52.6666667,67.77746341894063,ridge_pc5_lo
BRK_09,ND2710,71.5,59.66237227497107,ridge_pc5_lo
BRK_09,BACUP,68.33333329999999,66.8177534209892,ridge_pc5_lo
BRK_09,WHEATON,49.3333333,64.29545030722238,ridge_pc5_lo
BRK_10,MT09SCAB16,60.45,53.30980630873833,ridge_pc5_lo
BRK_10,MT09SCAB3,55.4166667,58.10446895369147,ridge_pc5_lo
BRK_10,MT09SCAB5,54.7916667,46.304341593078554,ridge_pc5_lo
BRK_10,MT09SCAB9,43.5,49.56790110422352,ridge_pc5_lo
BRK_10,FN09-17017,85.2583333,74.83341208639783,ridge_pc5_lo
BRK_10,FN09-17210,85.8,77.52391338518528,ridge_pc5_lo
BRK_10,FN09-17213,91.25833333,71.37137925000417,ridge_pc5_lo
BRK_10,FN09-17270,91.35833333,67.72239206966503,ridge_pc5_lo
BRK_10,FN09-17275,92.10833333,79.00037577698306,ridge_pc5_lo
BRK_10,MN06216-6-2-4,53.6666667,78.63383602667159,ridge_pc5_lo
BRK_10,MN07049-7-3,86.925,75.82047011571021,ridge_pc5_lo
BRK_10,MN07183-3,64.16666670000001,71.42051855064477,ridge_pc5_lo
BRK_10,BW928,70.225,76.8405269949239,ridge_pc5_lo
BRK_10,BRICK,89.22083334999999,67.34622973184216,ridge_pc5_lo
BRK_10,2375,60.15,77.7341520119373,ridge_pc5_lo
BRK_10,ND2710,73.5916667,69.88340831843638,ridge_pc5_lo
BRK_10,BACUP,76.2333333,72.06001861463085,ridge_pc5_lo
BRK_10,WHEATON,52.5,74.25213890021905,ridge_pc5_lo
BRK_11,10EXP13-16,47.6666667,62.947726037168515,ridge_pc5_lo
BRK_11,10EXP13-24,50.6666667,63.16093704948238,ridge_pc5_lo
BRK_11,10EXP13-44,66.7666667,56.97730883941792,ridge_pc5_lo
BRK_11,10EXP13-87,42.3333333,60.06302145380133,ridge_pc5_lo
BRK_11,10EXPSW13-19,43.8333333,50.00104111672149,ridge_pc5_lo
BRK_11,10EXPSW13-28,70.7166667,55.91568896739822,ridge_pc5_lo
BRK_11,10EXPSW13-9,45.1666667,50.46518260686483,ridge_pc5_lo
BRK_11,SD4313,73.2,56.167402740727354,ridge_pc5_lo
BRK_11,SD4331,62.8416667,56.02807258227723,ridge_pc5_lo
BRK_11,SD4337,47.5,58.60858261412397,ridge_pc5_lo
BRK_11,SD4338,46.5,59.4027009017478,ridge_pc5_lo
BRK_11,SD4343,60.8333333,58.88875586987654,ridge_pc5_lo
BRK_11,MN07057-6-4,54.7833333,58.90171273333962,ridge_pc5_lo
BRK_11,MN07167W-2-1,49.5,57.66645425275174,ridge_pc5_lo
BRK_11,MN09023,49.95,55.48765417612675,ridge_pc5_lo
BRK_11,MN09092,51.0,53.405967255819114,ridge_pc5_lo
BRK_11,X00009-16,57.0,55.295686520999695,ridge_pc5_lo
BRK_11,BW928,51.6666667,59.46858726177602,ridge_pc5_lo
BRK_11,BRICK,75.2333333,52.433212740653275,ridge_pc5_lo
BRK_11,2375,46.3333333,59.109938143701186,ridge_pc5_lo
BRK_11,ND2710,60.5,52.51146858528849,ridge_pc5_lo
BRK_11,BACUP,62.05,57.14700162344197,ridge_pc5_lo
BRK_11,WHEATON,38.1666667,55.62792503198291,ridge_pc5_lo
BRK_12,11EXP13-105,89.69166666699999,93.994011904671,ridge_pc5_lo
BRK_12,11EXP13-107,80.466666667,93.63683650825362,ridge_pc5_lo
BRK_12,11EXP13-43,94.325,94.39381536692024,ridge_pc5_lo
BRK_12,11EXP13-65,81.783333333,93.68180008117992,ridge_pc5_lo
BRK_12,11EXP13-78,85.983333333,95.9736926242571,ridge_pc5_lo
BRK_12,SD4361,85.708333333,88.50080620920566,ridge_pc5_lo
BRK_12,SD4366,95.3166666667,91.19432797039742,ridge_pc5_lo
BRK_12,SD4388,86.716666667,91.42870035906616,ridge_pc5_lo
BRK_12,SD4394,83.075,84.78367125389416,ridge_pc5_lo
BRK_12,SD4397,82.966666667,88.37027444372923,ridge_pc5_lo
BRK_12,MN08166,85.033333333,91.63290949272364,ridge_pc5_lo
BRK_12,MN08173,93.5666666667,90.93165235945662,ridge_pc5_lo
BRK_12,MN09027,92.1666666667,91.0303803411584,ridge_pc5_lo
BRK_12,MN09071,82.55,92.3510753010342,ridge_pc5_lo
BRK_12,MN09121,93.1666666667,85.8958036698115,ridge_pc5_lo
BRK_12,BW928,89.083333333,94.22153947726416,ridge_pc5_lo
BRK_12,BRICK,88.9805555555667,87.61804608976982,ridge_pc5_lo
BRK_12,2375,96.1916666667,89.8240105403746,ridge_pc5_lo
BRK_12,ND2710,91.25,87.26442080077663,ridge_pc5_lo
BRK_12,BACUP,85.35,92.33183497255853,ridge_pc5_lo
BRK_12,WHEATON,94.3666666667,86.34199742865636,ridge_pc5_lo
BRK_13,SD4487,81.104166667,81.43255146008143,ridge_pc5_lo
BRK_13,SD4518,80.85,85.26631064928627,ridge_pc5_lo
BRK_13,SD4536,81.3125,86.98376384001905,ridge_pc5_lo
BRK_13,SD4541,84.966666667,84.85439633262297,ridge_pc5_lo
BRK_13,SD4544,83.4125,81.66026242564666,ridge_pc5_lo
BRK_13,MN09157,83.695833333,87.32736408794936,ridge_pc5_lo
BRK_13,MN10055,83.470833333,83.75102482259149,ridge_pc5_lo
BRK_13,MN10285,85.31666666699999,88.92082413320385,ridge_pc5_lo
BRK_13,MN10362,85.858333333,80.76677830486717,ridge_pc5_lo
BRK_13,MN10368,85.920833333,85.24825245023618,ridge_pc5_lo
BRK_13,12-14-147,86.470833333,81.87771412501192,ridge_pc5_lo
BRK_13,12-14-158,81.095833333,88.17633080525265,ridge_pc5_lo
BRK_13,12-14-172,88.1125,92.05806777820092,ridge_pc5_lo
BRK_13,12-14-97,79.233333333,88.91436598225819,ridge_pc5_lo
BRK_13,BRICK,91.225,82.09420702928598,ridge_pc5_lo
BRK_13,2375,84.091666667,86.79320802816119,ridge_pc5_lo
BRK_13,ND2710,90.6791666667,81.5742494368156,ridge_pc5_lo
BRK_13,BACUP,84.0375,86.80799591207469,ridge_pc5_lo
BRK_13,WHEATON,68.80833333300001,83.31119491644294,ridge_pc5_lo
BRK_14,SD4504,82.19166666699999,79.15473782469374,ridge_pc5_lo
BRK_14,SD4508,77.5,72.75499062742327,ridge_pc5_lo
BRK_14,SD4510,76.166666667,74.19266209781705,ridge_pc5_lo
BRK_14,SD4514,78.125,79.03374675699419,ridge_pc5_lo
BRK_14,SD4546,84.85,79.62734137360108,ridge_pc5_lo
BRK_14,MN10021,79.55,73.53734079480978,ridge_pc5_lo
BRK_14,MN10388,73.5,79.04110731204831,ridge_pc5_lo
BRK_14,MN11074,80.3,78.45879535485469,ridge_pc5_lo
BRK_14,MN11397-1,66.716666667,79.00616725075389,ridge_pc5_lo
BRK_14,MN11405,84.25,75.43723550279941,ridge_pc5_lo
BRK_14,12-14-147,70.43333333300001,73.60988480502994,ridge_pc5_lo
BRK_14,12-14-158,69.833333333,80.42928178571377,ridge_pc5_lo
BRK_14,12-14-172,73.366666667,85.44243308164656,ridge_pc5_lo
BRK_14,12-14-97,74.93333333300001,81.72883958160882,ridge_pc5_lo
BRK_14,2375,70.166666667,78.5253787081792,ridge_pc5_lo
BRK_14,ND2710,87.833333333,73.82720041727673,ridge_pc5_lo
BRK_14,BACUP,69.5,81.6695518863648,ridge_pc5_lo
BRK_14,WHEATON,78.7,75.04336559646096,ridge_pc5_lo
BRK_15,BW483,53.0,59.75869183439004,ridge_pc5_lo
BRK_15,BW485,52.833333333,63.03606177899273,ridge_pc5_lo
BRK_15,BW499,67.133333333,64.77199795766067,ridge_pc5_lo
BRK_15,BW961,57.333333333,68.48192352602003,ridge_pc5_lo
BRK_15,MT1219,49.666666667,46.53884282103951,ridge_pc5_lo
BRK_15,MT1337,53.0,45.077838872066245,ridge_pc5_lo
BRK_15,MT1338,55.158333333,40.207208709666894,ridge_pc5_lo
BRK_15,14-13-106,59.666666667,66.75053810205745,ridge_pc5_lo
BRK_15,14-13-135,63.333333333,61.984828118107515,ridge_pc5_lo
BRK_15,14-13-14,66.866666667,69.22928424819642,ridge_pc5_lo
BRK_15,14-13-21,55.833333333,67.8870419548055,ridge_pc5_lo
BRK_15,14-13-97,58.833333333,65.65754509104414,ridge_pc5_lo
BRK_15,SD4559,65.0,62.61964152464862,ridge_pc5_lo
BRK_15,SD4582,81.208333333,65.89341191223396,ridge_pc5_lo
BRK_15,SD4595,71.725,61.98201444575685,ridge_pc5_lo
BRK_15,SD4605,68.166666667,64.45039865924552,ridge_pc5_lo
BRK_15,SD4607,58.833333333,64.42741009523392,ridge_pc5_lo
BRK_15,MN11326-3,68.883333333,63.53387256604571,ridge_pc5_lo
BRK_15,MN12265-1,65.30833333300001,61.43261144523301,ridge_pc5_lo
BRK_15,MN12307-3,67.0,62.0460602987433,ridge_pc5_lo
BRK_15,MN12423-5,76.68333333300001,60.02583544483879,ridge_pc5_lo
BRK_15,MN12545-3,63.375,65.51602226864183,ridge_pc5_lo
BRK_15,MT1316,57.0,62.6507447703796,ridge_pc5_lo
BRK_15,2375,63.166666667,64.31338318532333,ridge_pc5_lo
BRK_15,ND2710,69.725,60.54526122390829,ridge_pc5_lo
BRK_15,BACUP,53.333333333,66.37034725690144,ridge_pc5_lo
BRK_15,WHEATON,50.0,60.83137007360508,ridge_pc5_lo
BRK_16,ND820,79.741666667,77.9699651336745,ridge_pc5_lo
BRK_16,ND822,81.7125,79.82426017036875,ridge_pc5_lo
BRK_16,ND824,82.0,80.06690435141029,ridge_pc5_lo
BRK_16,SD4587,85.3875,79.13762677659933,ridge_pc5_lo
BRK_16,SD4589,82.266666667,80.80958942553364,ridge_pc5_lo
BRK_16,SD4621,84.15,76.88560235719036,ridge_pc5_lo
BRK_16,SD4645,81.925,79.78925468711998,ridge_pc5_lo
BRK_16,SD4675,78.329166667,79.40859474796737,ridge_pc5_lo
BRK_16,IDO1403S,59.916666667,72.2818852061841,ridge_pc5_lo
BRK_16,IDO1405S,62.166666667,68.00667463950502,ridge_pc5_lo
BRK_16,IDO1601S,65.65,69.61340710276266,ridge_pc5_lo
BRK_16,IDO1603S,60.666666667,74.26180750286746,ridge_pc5_lo
BRK_16,UISTONE,66.775,69.90935676745298,ridge_pc5_lo
BRK_16,LANG-MN,78.4875,83.10634941590692,ridge_pc5_lo
BRK_16,MN11394-6,84.0,73.62040061206862,ridge_pc5_lo
BRK_16,MN13056-7,86.12083333300001,75.18912325657976,ridge_pc5_lo
BRK_16,MN13064-2,80.516666667,81.45977607950306,ridge_pc5_lo
BRK_16,MN13515-8,83.479166667,74.0620069866275,ridge_pc5_lo
BRK_16,ND-VITPRO,82.045833333,85.99322938576111,ridge_pc5_lo
BRK_16,ND828,81.920833333,80.75801344884627,ridge_pc5_lo
BRK_16,2375,76.1,81.04564256090876,ridge_pc5_lo
BRK_16,ND2710,80.991666667,74.61600973823316,ridge_pc5_lo
BRK_16,BACUP,73.508333333,80.41583523392514,ridge_pc5_lo
BRK_16,WHEATON,56.1,77.56362944919051,ridge_pc5_lo
BRK_17,ND830,85.8,86.63139223600626,ridge_pc5_lo
BRK_17,ND833,83.8,85.25367715468333,ridge_pc5_lo
BRK_17,NDHRS16-12-19,79.9,89.35861174709473,ridge_pc5_lo
BRK_17,NDHRS16-12-31,84.7,89.99015397207589,ridge_pc5_lo
BRK_17,NDHRS16-12-52,82.0,85.16706171669132,ridge_pc5_lo
BRK_17,SD4691,85.8,84.82358998180305,ridge_pc5_lo
BRK_17,SD4705,88.6,84.24553667439369,ridge_pc5_lo
BRK_17,SD4710,86.3,80.31598227452686,ridge_pc5_lo
BRK_17,SD4724,86.0,86.21248974776553,ridge_pc5_lo
BRK_17,SD4741,87.7,81.12815053191837,ridge_pc5_lo
BRK_17,MN13304-5,81.4,81.22204787204404,ridge_pc5_lo
BRK_17,MN14138-4,85.3,83.2277527852032,ridge_pc5_lo
BRK_17,MN14470-5,80.0,83.28959486396384,ridge_pc5_lo
BRK_17,MN14669-1,76.8,85.08288846934678,ridge_pc5_lo
BRK_17,2375,74.4,85.81466474242724,ridge_pc5_lo
BRK_17,ND2710,84.5,79.5664281167321,ridge_pc5_lo
BRK_17,BACUP,78.2,86.09580666287344,ridge_pc5_lo
BRK_17,WHEATON,68.5,82.332651630709,ridge_pc5_lo
BRK_18,MT1673,73.6,57.04749558247222,ridge_pc5_lo
BRK_18,NDHRS16-13-13,81.0,83.21206699771889,ridge_pc5_lo
BRK_18,NDHRS16-13-89,79.4,81.24117345587263,ridge_pc5_lo
BRK_18,NDHRS16-13-97,80.9,86.044032345019,ridge_pc5_lo
BRK_18,NDHRS16-14-12,82.9,83.18828045566123,ridge_pc5_lo
BRK_18,NDHRS16-14-91,80.0,84.9679029401256,ridge_pc5_lo
BRK_18,SD4756,78.5,78.19471776088791,ridge_pc5_lo
BRK_18,SD4758,80.8,83.68011602824888,ridge_pc5_lo
BRK_18,SD4787,83.1,75.78323537497195,ridge_pc5_lo
BRK_18,SD4819,83.7,78.2608795063079,ridge_pc5_lo
BRK_18,SD4822,76.1,77.77403593090139,ridge_pc5_lo
BRK_18,MN15008-7,77.1,82.83240081782033,ridge_pc5_lo
BRK_18,MN15029-8,80.2,75.2777592904572,ridge_pc5_lo
BRK_18,MN15089-2,81.9,79.88855179517947,ridge_pc5_lo
BRK_18,MN15219-2,80.9,83.48778832863866,ridge_pc5_lo
BRK_18,MN15501-4,80.9,81.84783452495114,ridge_pc5_lo
BRK_18,MT1621,70.0,62.18464390192008,ridge_pc5_lo
BRK_18,2375,69.0,82.83517418619618,ridge_pc5_lo
BRK_18,ND2710,84.9,76.0938056076012,ridge_pc5_lo
BRK_18,BACUP,80.6,81.56987472778586,ridge_pc5_lo
BRK_18,WHEATON,58.0,79.35316107447794,ridge_pc5_lo
BRK_19,LANNING,76.1,76.11240931242543,ridge_pc5_lo
BRK_19,MT1767,79.4,60.528424201679755,ridge_pc5_lo
BRK_19,VIDA,73.6,60.30524878792003,ridge_pc5_lo
BRK_19,NDHRS14-0136-C06,76.2,78.41115343084206,ridge_pc5_lo
BRK_19,NDHRS16-14-36,75.2,81.40916431445032,ridge_pc5_lo
BRK_19,NDHRS16-16-665,80.7,78.22906584780735,ridge_pc5_lo
BRK_19,SD4740,75.9,77.91496439275778,ridge_pc5_lo
BRK_19,SD4834,77.9,80.45066109242643,ridge_pc5_lo
BRK_19,SD4859,77.3,75.64557105532904,ridge_pc5_lo
BRK_19,SD4865,79.2,80.04665034606619,ridge_pc5_lo
BRK_19,SD4868,80.2,75.90986273298961,ridge_pc5_lo
BRK_19,MN15155-2,80.6,76.45056966391786,ridge_pc5_lo
BRK_19,MN16028,77.6,74.6286091113853,ridge_pc5_lo
BRK_19,MN16040,78.7,81.18928745345582,ridge_pc5_lo
BRK_19,MN16262-3,81.2,77.29822739635695,ridge_pc5_lo
BRK_19,MN16317-5,82.5,76.32131797358238,ridge_pc5_lo
BRK_19,MT1621,66.3,59.72440465396483,ridge_pc5_lo
BRK_19,NDHRS13-0170-0004,76.6,80.34948221251165,ridge_pc5_lo
BRK_19,MT1716,75.2,64.65600746770211,ridge_pc5_lo
BRK_19,ND-HERON,78.8,77.1563115929505,ridge_pc5_lo
BRK_19,ND2710,82.5,74.08819779823133,ridge_pc5_lo
BRK_19,BACUP,70.2,80.49368222916497,ridge_pc5_lo
BRK_19,WHEATON,60.6,76.8929218265227,ridge_pc5_lo
BRK_20,MT1775,72.2,59.38822259017997,ridge_pc5_lo
BRK_20,MT1809,78.9,65.72269241856317,ridge_pc5_lo
BRK_20,MT1866,70.2,61.79947638131935,ridge_pc5_lo
BRK_20,MT1871,68.1,67.36772919133577,ridge_pc5_lo
BRK_20,MT1872,77.0,70.09983048323096,ridge_pc5_lo
BRK_20,NDHRS13-0114-C06,81.1,82.20880839669871,ridge_pc5_lo
BRK_20,NDHRS13-0121-C05,84.3,81.96210977667108,ridge_pc5_lo
BRK_20,NDHRS13-0215-C03,80.3,76.35107117222671,ridge_pc5_lo
BRK_20,NDHRS13-0318-0003,81.2,79.1208322623015,ridge_pc5_lo
BRK_20,SD4848,75.1,82.94928607894552,ridge_pc5_lo
BRK_20,SD4917,80.2,75.5097336581831,ridge_pc5_lo
BRK_20,SD4926,81.0,75.84409465131408,ridge_pc5_lo
BRK_20,SD4947,68.6,71.25891894947215,ridge_pc5_lo
BRK_20,SD4950,69.2,70.89812384019987,ridge_pc5_lo
BRK_20,MN16103-1,80.2,76.99534248968719,ridge_pc5_lo
BRK_20,MN16277-3,78.6,76.55163909008263,ridge_pc5_lo
BRK_20,MN16340-8,78.8,75.507542106297,ridge_pc5_lo
BRK_20,MN16360-1,73.7,79.3332331637529,ridge_pc5_lo
BRK_20,MN16408-5,76.2,80.45775167485264,ridge_pc5_lo
BRK_20,NDHRS13-0170-0004,81.9,78.57292980860814,ridge_pc5_lo
BRK_20,MT1855,62.9,71.49720461430766,ridge_pc5_lo
BRK_20,MT1716,78.2,63.76855267012347,ridge_pc5_lo
BRK_20,ND-HERON,80.8,75.379759189047,ridge_pc5_lo
BRK_20,ND2710,81.2,75.252408998581,ridge_pc5_lo
BRK_20,BACUP,76.9,79.6200535384478,ridge_pc5_lo
BRK_20,WHEATON,56.3,75.11636942261919,ridge_pc5_lo
BRK_21,MT2007,77.3,78.42889655760416,ridge_pc5_lo
BRK_21,MT2013,74.2,65.48495969494314,ridge_pc5_lo
BRK_21,MT2018,74.9,70.02272108564937,ridge_pc5_lo
BRK_21,MT2022,79.2,70.4741649785804,ridge_pc5_lo
BRK_21,NDHRS17DH-0467-056,75.3,87.93351922420797,ridge_pc5_lo
BRK_21,SD4871,84.1,82.49915143652748,ridge_pc5_lo
BRK_21,SD4933,83.0,83.55017148074772,ridge_pc5_lo
BRK_21,SD4968,83.2,75.61460988829401,ridge_pc5_lo
BRK_21,SD4976,79.3,81.30470170531277,ridge_pc5_lo
BRK_21,SD4991,82.3,79.01405878130782,ridge_pc5_lo
BRK_21,SD5012,85.7,78.15343703244761,ridge_pc5_lo
BRK_21,MN17033-1,82.3,77.77586509150272,ridge_pc5_lo
BRK_21,MN17038-5,76.1,81.9877037713074,ridge_pc5_lo
BRK_21,MN17271-1,81.4,74.28318255347196,ridge_pc5_lo
BRK_21,MN17332-2,80.7,81.62983077452462,ridge_pc5_lo
BRK_21,MT1855,70.2,74.1575027163568,ridge_pc5_lo
BRK_21,NDHRS13-0156-C04,77.5,82.22062591036611,ridge_pc5_lo
BRK_21,NDHRS13-0177-0001,82.9,85.44149069374328,ridge_pc5_lo
BRK_21,NDHRS13-0309-B03,82.5,84.55887054200672,ridge_pc5_lo
BRK_21,NDHRS17-0596-B28,84.7,78.47881104078385,ridge_pc5_lo
BRK_21,MT1716,77.2,67.48887457317586,ridge_pc5_lo
BRK_21,ND2710,87.0,77.91270710063014,ridge_pc5_lo
BRK_21,BACUP,81.3,82.02278373740276,ridge_pc5_lo
BRK_21,WHEATON,58.7,78.97343052002387,ridge_pc5_lo
BRK_22,MT21076,79.2,59.69085091068065,ridge_pc5_lo
BRK_22,MT21082,67.3,57.644116005413146,ridge_pc5_lo
BRK_22,MT21089,77.5,76.24556899136853,ridge_pc5_lo
BRK_22,MT21091,78.3,74.76849479490507,ridge_pc5_lo
BRK_22,MT21102,74.8,68.6830487819384,ridge_pc5_lo
BRK_22,MT21111,72.7,61.43396484015141,ridge_pc5_lo
